date	draft_rank	expert_id	in_season_rank	name	source
2017-08-23	108	3	104	Eric Karabell	ESPN
2017-08-23		5		Staff Composite	ESPN
2017-08-25	69	7	65	Andy Behrens	Yahoo! Sports
2017-08-25	28	9	66	Scott Pianowski	Yahoo! Sports
2017-08-23	76	15	8	Staff Rankings	ScoutFantasy
2017-08-24	17	22	19	Pat Fitzmaurice	The Football Girl
2017-08-23	45	23	99	Scott Engel	RotoExperts
2017-08-22	72	44	106	Dave Richard	CBS Sports
2017-08-22	87	45	114	Jamey Eisenberg	CBS Sports
2017-08-24		53	83	Walter Cherepinsky	WalterFootball
2017-08-24	81	58	111	Chet Gresham	WalterFootball
2017-08-25		63	116	Brad Richter	Going For 2
2017-08-23	34	66	112	Derek Lofland	Fantasy Football Maniax
2017-08-25	29	86	20	John Halpin	RotoWire.com
2017-08-24	27	95	22	Kevin Hanson	EDSFootball
2017-08-21	80	96	57	Ken Zalis	Pressbox
2017-08-21	43	101	10	Matt De Lima	ScoutFantasy
2017-08-24	102	109	3	Bill Enright	FFChamps
2017-08-23	21	113	78	Mike Clay	ESPN
2017-08-24	5	120	1	Sean Koerner	STATS
2017-08-25	111	127	47	Sablich Brothers	5th Down Fantasy
2017-08-23	54	135	96	Tristan Cockcroft	ESPN
2017-08-21	98	140	82	Michael Beller	Sports Illustrated
2017-08-22	105	141		Eric Mack	Fantasy Fatcast
2017-08-24	36	145	29	Jody Smith	Gridiron Experts
2017-08-24	79	150	48	Mike Tagliere	FantasyPros
2017-08-21	41	155	41	Staff Rankings	Fantasy Knuckleheads
2017-08-23	46	156	11	Greg Smith	TwoQBs
2017-08-21	116	211	85	Zach Greubel	Gridiron Experts
2017-08-24		220	86	Jeff Boggis	Fantasy Football Empire
2017-08-22	101	256	95	Heath Cummings	CBS Sports
2017-08-24	94	262	92	Brent Namejko	Fantasy Smack Talk
2017-08-15	67	277	4	Brett Talley	Fantasy Alarm
2017-08-22	112	284	72	Mike Rigz	Gridiron Experts
2017-08-24	1	285	49	Dalton Del Don	Yahoo! Sports
2017-08-23	20	317	7	Justin Boone	theScore
2017-08-21	120	323	51	Matt Schauf	Draft Sharks
2017-08-23	119	329	110	David Biggs	Drink Five
2017-08-21	117	365		Dave McKay	The Fantasy Sports Brain
2017-07-31	114	366		Ryan Hodge	ProjectRoto
2017-08-24	133	377		Nick Vertucci	Sundays Are For Football
2017-08-21	12	380	25	Dan Clasgens	Pro Football Focus
2017-08-24		394	89	Rudy Gamble	Razzball
2017-08-23	138	395	108	Wayne Bretsky	BretskyBall
2017-08-21	6	406	12	Jake Ciely	RotoExperts
2017-08-22		422		Staff Rankings	The Fake Football
2017-08-23	10	443	58	Jon Collins	Fantasy Sports LR
2017-08-22	9	453		Huseyin Aksu	Fantasy Couch
2017-08-21	51	454	18	Joe Bond	Fantasy Six Pack
2017-08-23	8	459	54	Raymond Summerlin	Rotoworld
2017-08-21	107	470		Adam Pfeifer	RotoCurve
2017-08-24	66	487	88	Chris Meaney	FNTSY Sports Network
2017-08-24	130	501		Kelly Smelser	Punch Drunk Wonderland
2017-08-24	3	532	9	Jason Longfellow	Razzball
2017-08-24	22	534	23	Patrick Thorman	Pro Football Focus
2017-08-22	88	549	43	Ryan Noonan	The Fantasy Fix
2017-08-21	82	552	28	Matthew Hill	DataForce Fantasy Football
2017-08-24	40	553	38	Addison Witt	Fantasy Team Advice
2017-08-25	90	562	68	Des Bieler	The Washington Post
2017-08-23	58	603		George Kurtz	RotoExperts
2017-08-23	123	620	122	David Gonos	SoCalledFanEx
2017-08-21	16	623		Richard Savill	Fantasy Six Pack
2017-08-24		648		Michael Florio	RotoExperts
2017-08-07	132	649	120	Chris Meyers	Athlon Sports
2017-08-24	121	666	55	Andy Holloway	The Fantasy Footballers
2017-08-24		670		Mauricio Gutierrez	Estadio Fantasy
2017-08-24	104	678	70	Donald Gibson	Fantasy Fusion
2017-08-24	95	690	44	Kevin Steele	The Fantasy Authority
2017-08-21	14	702	71	Matt Camp	Bleacher Report
2017-08-23	93	706	113	Field Yates	ESPN
2017-08-21	124	714	98	Michael Tomlin	SoCalledFanEx
2017-08-23	62	769		Bobby Sylvester	FantasyPros
2017-07-21	91	771		Bob Lung	Big Guy Fantasy Sports
2017-08-24	32	786		Scott Smith	RotoViz
2017-08-23		828		Mike Randle	Last Word on Sports
2017-08-23		835		Kevin Wheeler	NFL Mock
2017-08-25		840		Christian Brito	Eat.Sleep.Fantasy
2017-08-21	13	896		Robert Waziak	Pyromaniac
2017-08-24		1042		Corey Parson	RotoExperts
2017-08-21		1060		Anthony Amico	RotoViz
2017-08-21		1101		Mitchell Renz	Gridiron Experts
2017-08-23		1109		James Rapien	Get Sports Info
2017-08-21		1147		Staff Rankings	QB List
2017-08-22		1152		Pierre Camus	RotoBaller
2017-08-22		1154		Jeff Johnson	Fantasy Insiders
2017-08-14		1155		David Kitchen	Fantasy Insiders
2017-08-24		1161		Frankie Soler	RotoBaller
