player_name	position	team	median_rank	mean_rank	position_rank
David Johnson	RB	ARI	1.0	1.1951219512195121	1
Le'Veon Bell	RB	PIT	2.0	1.8414634146341464	2
Antonio Brown	WR	PIT	3.0	3.475609756097561	1
Julio Jones	WR	ATL	5.0	5.682926829268292	2
Odell Beckham Jr.	WR	NYG	5.0	5.7560975609756095	3
LeSean McCoy	RB	BUF	6.0	6.073170731707317	3
Melvin Gordon	RB	LAC	8.0	8.341463414634147	4
Mike Evans	WR	TB	9.0	9.182926829268293	4
A.J. Green	WR	CIN	9.0	9.475609756097562	5
Devonta Freeman	RB	ATL	9.0	9.926829268292684	5
Jordy Nelson	WR	GB	11.0	10.731707317073171	6
Jordan Howard	RB	CHI	12.0	12.512195121951219	6
Jay Ajayi	RB	MIA	13.0	12.597560975609756	7
DeMarco Murray	RB	TEN	14.0	13.74390243902439	8
Michael Thomas	WR	NO	15.0	14.682926829268293	7
Todd Gurley	RB	LAR	17.0	18.634146341463413	9
Dez Bryant	WR	DAL	18.0	18.341463414634145	8
T.Y. Hilton	WR	IND	19.0	20.804878048780488	9
Leonard Fournette	RB	JAC	20.0	23.109756097560975	10
Amari Cooper	WR	OAK	21.0	21.914634146341463	10
Doug Baldwin	WR	SEA	21.0	22.878048780487806	11
Ezekiel Elliott	RB	DAL	23.0	24.158536585365855	11
Rob Gronkowski	TE	NE	24.0	25.01219512195122	1
Lamar Miller	RB	HOU	24.5	26.78048780487805	12
Isaiah Crowell	RB	CLE	25.0	25.890243902439025	13
Brandin Cooks	WR	NE	26.0	28.109756097560975	12
Marshawn Lynch	RB	OAK	28.0	33.451219512195124	14
DeAndre Hopkins	WR	HOU	29.0	29.5609756097561	13
Demaryius Thomas	WR	DEN	29.0	31.426829268292682	14
Terrelle Pryor	WR	WAS	32.5	35.97560975609756	15
Carlos Hyde	RB	SF	34.0	35.926829268292686	15
Aaron Rodgers	QB	GB	35.0	33.75609756097561	1
Tom Brady	QB	NE	36.0	37.84146341463415	2
Alshon Jeffery	WR	PHI	36.5	37.46341463414634	16
Allen Robinson	WR	JAC	37.0	39.01219512195122	17
Davante Adams	WR	GB	38.0	39.75609756097561	18
Joe Mixon	RB	CIN	39.0	43.75609756097561	16
Dalvin Cook	RB	MIN	39.5	41.08536585365854	17
Travis Kelce	TE	KC	40.0	38.646341463414636	2
Drew Brees	QB	NO	40.0	43.08536585365854	3
Keenan Allen	WR	LAC	41.5	41.47560975609756	19
Christian McCaffrey	RB	CAR	41.5	44.073170731707314	18
Michael Crabtree	WR	OAK	44.0	43.02439024390244	20
Ty Montgomery	RB	GB	44.5	45.5609756097561	19
C.J. Anderson	RB	DEN	48.0	50.292682926829265	20
Mark Ingram	RB	NO	49.0	50.5609756097561	21
Sammy Watkins	WR	LAR	49.0	52.31707317073171	21
Spencer Ware	RB	KC	49.5	51.91463414634146	22
Golden Tate	WR	DET	51.0	50.97560975609756	22
Martavis Bryant	WR	PIT	52.0	56.8780487804878	23
Emmanuel Sanders	WR	DEN	53.0	58.28048780487805	24
Greg Olsen	TE	CAR	54.0	53.23170731707317	3
Jordan Reed	TE	WAS	54.0	57.53658536585366	4
Larry Fitzgerald	WR	ARI	54.5	54.65853658536585	25
Tyreek Hill	WR	KC	54.5	55.292682926829265	26
Ameer Abdullah	RB	DET	59.0	61.109756097560975	23
Russell Wilson	QB	SEA	60.0	60.47560975609756	4
Jarvis Landry	WR	MIA	60.0	61.18292682926829	27
Mike Gillislee	RB	NE	60.0	61.53658536585366	24
Bilal Powell	RB	NYJ	61.5	60.951219512195124	25
Matt Ryan	QB	ATL	61.5	62.0	5
Kelvin Benjamin	WR	CAR	63.0	65.79268292682927	28
Jimmy Graham	TE	SEA	64.0	64.92682926829268	5
Julian Edelman	WR	NE	64.0	66.02439024390245	29
Tevin Coleman	RB	ATL	65.0	65.17073170731707	26
Frank Gore	RB	IND	65.0	66.3170731707317	27
Jamison Crowder	WR	WAS	65.0	67.60975609756098	30
Stefon Diggs	WR	MIN	70.5	69.29268292682927	31
Tyler Eifert	TE	CIN	72.5	76.1951219512195	6
Willie Snead	WR	NO	74.0	73.89024390243902	32
Andrew Luck	QB	IND	74.0	74.58536585365853	6
Brandon Marshall	WR	NYG	75.0	74.89024390243902	33
Paul Perkins	RB	NYG	75.5	79.42682926829268	28
LeGarrette Blount	RB	PHI	76.0	83.36585365853658	29
Kirk Cousins	QB	WAS	78.0	77.79268292682927	7
Adrian Peterson	RB	NO	78.0	78.60975609756098	30
Danny Woodhead	RB	BAL	78.0	79.40243902439025	31
Doug Martin	RB	TB	78.5	81.36585365853658	32
Marcus Mariota	QB	TEN	78.5	84.08536585365853	8
Pierre Garcon	WR	SF	79.5	82.10975609756098	34
Eddie Lacy	RB	SEA	79.5	85.6219512195122	33
Jameis Winston	QB	TB	82.0	86.42682926829268	9
Donte Moncrief	WR	IND	83.0	81.86585365853658	35
Kyle Rudolph	TE	MIN	83.0	82.58536585365853	7
DeSean Jackson	WR	TB	83.0	82.65853658536585	36
Terrance West	RB	BAL	83.0	85.8641975308642	34
Robert Kelley	RB	WAS	84.0	86.3048780487805	35
Cam Newton	QB	CAR	85.5	87.07317073170732	10
Devante Parker	WR	MIA	87.5	87.86585365853658	37
Delanie Walker	TE	TEN	89.0	89.4390243902439	8
Eric Decker	WR	TEN	91.0	92.8048780487805	38
Jeremy Maclin	WR	BAL	92.0	92.27160493827161	39
Tyrell Williams	WR	LAC	92.0	92.29629629629629	40
Cameron Meredith	WR	CHI	94.5	96.1219512195122	41
Derrick Henry	RB	TEN	95.5	96.53658536585365	36
Jonathan Stewart	RB	CAR	98.0	98.36585365853658	37
Ben Roethlisberger	QB	PIT	98.5	96.85365853658537	11
Kenny Britt	WR	CLE	99.0	103.9390243902439	42
